date,exercise,set_number,reps_numerator,reps_denominator
2020-06-29,pushup,1,100,100
2020-06-29,titanium ankles,1,1,1
2020-06-29,titanium ankles,2,1,1
2020-06-29,titanium ankles,3,1,1
2020-06-29,Ab Rollouts,1,1,1
2020-06-29,Ab Rollouts,2,1,1
2020-06-29,Ab Rollouts,3,1,1
2020-06-29,Compressives,1,1,1
2020-06-29,Compressives,2,1,1
2020-06-29,Compressives,3,1,1
2020-06-29,ladder set,1,10,10
2020-06-29,ladder set,2,7,7
2020-06-29,ladder set,3,5,5
2020-06-30,pushup,1,100,100
2020-06-30,titanium ankles,1,1,1
2020-06-30,titanium ankles,2,1,1
2020-06-30,titanium ankles,3,1,1
2020-06-30,Ab Rollouts,1,1,1
2020-06-30,Ab Rollouts,2,1,1
2020-06-30,Ab Rollouts,3,1,1
2020-06-30,Compressives,1,1,1
2020-06-30,Compressives,2,1,1
2020-06-30,Compressives,3,1,1
2020-06-30,ladder set,1,10,10
2020-06-30,ladder set,2,7,7
2020-06-30,ladder set,3,5,5
2020-07-01,pushup,1,100,100
2020-07-01,titanium ankles,1,1,1
2020-07-01,titanium ankles,2,1,1
2020-07-01,titanium ankles,3,1,1
2020-07-01,Ab Rollouts,1,1,1
2020-07-01,Ab Rollouts,2,1,1
2020-07-01,Ab Rollouts,3,1,1
2020-07-01,Compressives,1,1,1
2020-07-01,Compressives,2,1,1
2020-07-01,Compressives,3,1,1
2020-07-01,ladder set,1,10,10
2020-07-01,ladder set,2,7,7
2020-07-01,ladder set,3,5,5
2020-07-02,pushup,1,100,100
2020-07-02,titanium ankles,1,1,1
2020-07-02,titanium ankles,2,1,1
2020-07-02,titanium ankles,3,1,1
2020-07-02,Ab Rollouts,1,1,1
2020-07-02,Ab Rollouts,2,1,1
2020-07-02,Ab Rollouts,3,1,1
2020-07-02,Compressives,1,1,1
2020-07-02,Compressives,2,1,1
2020-07-02,Compressives,3,1,1
2020-07-02,ladder set,1,10,10
2020-07-02,ladder set,2,7,7
2020-07-02,ladder set,3,5,5
2020-07-03,pushup,1,100,100
2020-07-03,titanium ankles,1,1,1
2020-07-03,titanium ankles,2,1,1
2020-07-03,titanium ankles,3,1,1
2020-07-03,Ab Rollouts,1,1,1
2020-07-03,Ab Rollouts,2,1,1
2020-07-03,Ab Rollouts,3,1,1
2020-07-03,Compressives,1,1,1
2020-07-03,Compressives,2,1,1
2020-07-03,Compressives,3,1,1
2020-07-03,ladder set,1,10,10
2020-07-03,ladder set,2,7,7
2020-07-03,ladder set,3,5,5
